Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779882370,10,,Aggregated,7.800000,0.000000,18,21,23,25,31,36,940,1400,2400,2400,2400,399,0,18,50.1863920292642,7.47191600385122,2352.2167500050273,39.230576441102755
1779882371,10,,Aggregated,7.700000,0.000000,18,21,23,25,31,36,940,1400,2400,2400,2400,409,0,18,49.447749703234486,7.47191600385122,2352.2167500050273,39.303178484107576
1779882372,10,,Aggregated,7.800000,0.000000,18,21,23,25,31,36,940,1400,2400,2400,2400,414,0,18,49.07947645555273,7.47191600385122,2352.2167500050273,39.45410628019324
1779882373,10,,Aggregated,8.000000,0.000000,18,21,23,25,31,35,940,1400,2400,2400,2400,423,0,18,48.47004078397413,7.47191600385122,2352.2167500050273,39.59574468085106
1779882374,10,,Aggregated,7.800000,0.000000,18,21,23,25,31,35,940,1400,2400,2400,2400,430,0,18,48.048940120023936,7.47191600385122,2352.2167500050273,39.67906976744186
1779882375,10,,Aggregated,7.600000,0.000000,18,21,23,25,31,36,940,1400,2400,2400,2400,439,0,18,47.571729413662766,7.47191600385122,2352.2167500050273,39.70615034168565
1779882376,10,,Aggregated,7.400000,0.000000,18,21,23,25,31,35,940,1400,2400,2400,2400,448,0,18,46.98723884959171,7.47191600385122,2352.2167500050273,39.957589285714285
1779882377,10,,Aggregated,7.700000,0.000000,18,21,23,25,31,35,550,1400,2400,2400,2400,454,0,18,46.61036793966696,7.47191600385122,2352.2167500050273,39.89647577092511
1779882378,10,,Aggregated,7.800000,0.000000,18,21,23,25,31,34,550,1400,2400,2400,2400,462,0,18,46.22819020698357,7.47191600385122,2352.2167500050273,39.87229437229437
1779882379,10,,Aggregated,7.800000,0.000000,18,21,23,25,31,34,550,1400,2400,2400,2400,467,0,18,45.95281897343065,7.47191600385122,2352.2167500050273,39.88436830835118
